"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
9.10954066338762e-50,0.781997561437351,0.738,0.479,1.64035498725621e-45,"INA","0"
1.05978086385559e-49,0.843813846791632,0.672,0.414,1.90834740154476e-45,"GABRB2","0"
6.60252353245158e-49,0.34211681209222,0.998,0.986,1.18891641248856e-44,"CALM3","0"
6.8227807917641e-49,0.294875843316684,1,1,1.22857813717296e-44,"CALM2","0"
8.08535185508284e-49,0.656183254947051,0.825,0.615,1.45592930854477e-44,"MEF2C","0"
8.94050514484014e-49,0.47926317055108,0.966,0.896,1.60991676143136e-44,"MDH1","0"
2.37732279985485e-47,0.387188924485475,0.993,0.96,4.28084516569862e-43,"CHN1","0"
3.60523811403805e-47,0.692412112832492,0.756,0.505,6.49195227194831e-43,"SLC12A5","0"
7.8163028045403e-47,1.52433018627189,0.281,0.094,1.40748164601357e-42,"LAMP5","0"
2.38525107395039e-46,0.94221397398681,0.768,0.579,4.29512160886247e-42,"NEFM","0"
7.39876958647049e-46,0.363574431473251,0.999,0.978,1.33229643943574e-41,"RTN1","0"
1.25772354343252e-45,1.08209535138631,0.474,0.242,2.26478278465894e-41,"GRIA4","0"
1.39236145557473e-45,1.43612224931679,0.286,0.098,2.50722527305342e-41,"TMOD1","0"
9.66828923295021e-45,1.04245040915457,0.459,0.228,1.74096884217734e-40,"EPHA4","0"
9.89137476659304e-45,0.424390156861455,0.967,0.908,1.78113985422041e-40,"TSC22D1","0"
1.09063870598819e-44,1.75222800693749,0.29,0.108,1.96391311787293e-40,"FABP4","0"
3.26176636640961e-44,0.354839453421057,0.997,0.981,5.87346269599378e-40,"HSPA8","0"
6.18235256824251e-44,0.661613163427634,0.821,0.627,1.11325622696343e-39,"CAMK2A","0"
9.44603945662403e-44,1.75967665445788,0.336,0.146,1.70094832495429e-39,"SAA1","0"
1.16166045369647e-43,0.412852279938508,0.975,0.942,2.09180197897124e-39,"ARPP19","0"
1.77935511237063e-43,1.42207888038534,0.281,0.1,3.2040847508458e-39,"KCNS1","0"
2.16468342272501e-43,0.832389092241291,0.587,0.349,3.89794543930092e-39,"CADM3","0"
5.01403293184035e-43,0.752403647070564,0.665,0.419,9.02876910036491e-39,"BEX5","0"
8.80495468763713e-43,0.710655522400505,0.731,0.507,1.58550819060282e-38,"FKBP1A","0"
8.46795831574883e-42,1.16010408342889,0.385,0.178,1.52482525391689e-37,"CBLN2","0"
1.08404678581273e-41,1.05335698678907,0.457,0.239,1.95204304721298e-37,"ITPKA","0"
2.24658712905766e-41,1.16371441272943,0.38,0.175,4.04542944329413e-37,"EGR3","0"
4.47266910213274e-41,0.907042429223712,0.589,0.376,8.05393525221043e-37,"SERPINE2","0"
1.49527999149828e-40,1.03504252592044,0.432,0.216,2.69255068069096e-36,"SOWAHA","0"
1.67025597466556e-40,1.00137578753257,0.474,0.251,3.00762993358027e-36,"LDB2","0"
4.46656607386451e-40,1.16776255099229,0.357,0.159,8.04294552920782e-36,"CACNB2","0"
5.47017925524627e-40,0.366166198340382,0.985,0.956,9.85015178492195e-36,"YWHAZ","0"
6.133117926041e-40,0.830110651079914,0.603,0.377,1.1043905449422e-35,"CYP46A1","0"
4.79712104768089e-39,0.440251560879001,0.943,0.873,8.63817587055898e-35,"BEX1","0"
1.08492169079975e-38,1.2825978361267,0.299,0.12,1.95361848862311e-34,"RCN1","0"
1.09218356845741e-38,1.34400404732836,0.274,0.103,1.96669495172125e-34,"CA4","0"
1.21214667294075e-38,0.887466233727133,0.522,0.301,2.18271251396441e-34,"NSG1","0"
1.84881262773466e-38,0.840746337293969,0.58,0.364,3.3291568987618e-34,"ZBTB18","0"
2.6414022196381e-38,0.490962652038217,0.91,0.779,4.75637297690232e-34,"RGS4","0"
5.39898036957112e-38,1.30513168928818,0.301,0.124,9.72194395148672e-34,"FAM19A2","0"
7.40239235919267e-38,1.41350785033297,0.27,0.103,1.33294879211982e-33,"TPBG","0"
1.08972799305237e-37,0.753674991782741,0.606,0.381,1.96227319708941e-33,"VSTM2L","0"
1.28445398513876e-37,0.568105230535054,0.835,0.633,2.31291629103936e-33,"GABRA1","0"
1.93127578131763e-37,0.51144312526157,0.883,0.758,3.47764829941865e-33,"CABP1","0"
2.09478072706675e-37,0.676408803038611,0.768,0.59,3.77207165522911e-33,"SNCG","0"
2.36421073152623e-37,0.65518816963454,0.694,0.481,4.25723426425928e-33,"SNN","0"
2.4928748157065e-37,1.00776524311009,0.389,0.187,4.48891968064269e-33,"NECAB2","0"
3.98669368166098e-37,1.40307323565869,0.25,0.091,7.17883931256692e-33,"FAM19A1","0"
