"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
8.41445816375399e-43,-1.43571718787257,0.31,0.508,1.51519148154718e-38,"GSN","0"
8.80495468763713e-43,0.710655522400505,0.731,0.507,1.58550819060282e-38,"FKBP1A","0"
1.16024216970697e-42,-0.667873551089848,0.836,0.92,2.08924807499135e-38,"PTMA","0"
8.46795831574883e-42,1.16010408342889,0.385,0.178,1.52482525391689e-37,"CBLN2","0"
1.08404678581273e-41,1.05335698678907,0.457,0.239,1.95204304721298e-37,"ITPKA","0"
2.24658712905766e-41,1.16371441272943,0.38,0.175,4.04542944329413e-37,"EGR3","0"
3.76519261431943e-41,-0.526144346197937,0.85,0.935,6.779982340605e-37,"SERF2","0"
4.47266910213274e-41,0.907042429223712,0.589,0.376,8.05393525221043e-37,"SERPINE2","0"
5.67862576271245e-41,-0.422089509841796,0.974,0.988,1.02255014109163e-36,"RPL28","0"
7.52818604415493e-41,-1.31098072375945,0.371,0.55,1.35560046097098e-36,"TSC22D4","0"
1.49527999149828e-40,1.03504252592044,0.432,0.216,2.69255068069096e-36,"SOWAHA","0"
1.67025597466556e-40,1.00137578753257,0.474,0.251,3.00762993358027e-36,"LDB2","0"
2.2611284570576e-40,-0.369650606904898,0.992,0.998,4.07161401262361e-36,"RPLP1","0"
4.46656607386451e-40,1.16776255099229,0.357,0.159,8.04294552920782e-36,"CACNB2","0"
4.80295862972875e-40,-0.485617915322886,0.944,0.976,8.64868760455257e-36,"RPL30","0"
4.84815690480957e-40,-0.653331998490504,0.769,0.871,8.73007613849058e-36,"MTURN","0"
5.47017925524627e-40,0.366166198340382,0.985,0.956,9.85015178492195e-36,"YWHAZ","0"
6.133117926041e-40,0.830110651079914,0.603,0.377,1.1043905449422e-35,"CYP46A1","0"
1.15541876036757e-39,-0.536595688135739,0.801,0.914,2.08056256179389e-35,"RPS19","0"
4.16542133001506e-39,-2.34640771663648,0.084,0.266,7.50067418895811e-35,"NKX6-2","0"
4.79712104768089e-39,0.440251560879001,0.943,0.873,8.63817587055898e-35,"BEX1","0"
1.08492169079975e-38,1.2825978361267,0.299,0.12,1.95361848862311e-34,"RCN1","0"
1.09218356845741e-38,1.34400404732836,0.274,0.103,1.96669495172125e-34,"CA4","0"
1.21214667294075e-38,0.887466233727133,0.522,0.301,2.18271251396441e-34,"NSG1","0"
1.84881262773466e-38,0.840746337293969,0.58,0.364,3.3291568987618e-34,"ZBTB18","0"
2.09743764512355e-38,-0.526155202989846,0.814,0.913,3.77685596757398e-34,"RPS2","0"
2.6414022196381e-38,0.490962652038217,0.91,0.779,4.75637297690232e-34,"RGS4","0"
5.39898036957112e-38,1.30513168928818,0.301,0.124,9.72194395148672e-34,"FAM19A2","0"
7.40239235919267e-38,1.41350785033297,0.27,0.103,1.33294879211982e-33,"TPBG","0"
